rank,objective,design_index,objective_value,cost,selling_price,user_satisfaction,demand,profit,selected_components
1,maximize_user_satisfaction,24255871,146860.0,2790.0,4185.0,146860.0,101,140895.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
2,maximize_user_satisfaction,25188991,146413.0,2850.0,4275.0,146413.0,88,125400.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
3,maximize_user_satisfaction,24255872,146344.0,2810.0,4215.0,146344.0,96,134880.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Metal']}"
4,maximize_user_satisfaction,24255925,146090.0,2790.0,4185.0,146090.0,100,139500.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
5,maximize_user_satisfaction,24255709,145940.0,2775.0,4162.5,145940.0,102,141525.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
6,maximize_user_satisfaction,25188992,145897.0,2870.0,4305.0,145897.0,84,120540.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Metal']}"
7,maximize_user_satisfaction,25189045,145643.0,2850.0,4275.0,145643.0,88,125400.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
8,maximize_user_satisfaction,24255926,145574.0,2810.0,4215.0,145574.0,95,133475.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Metal']}"
9,maximize_user_satisfaction,25188829,145493.0,2835.0,4252.5,145493.0,90,127575.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
10,maximize_user_satisfaction,24255868,145430.0,2510.0,3765.0,145430.0,152,190760.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
1,maximize_demand,1860952,259.0,1500.0,2250.0,126304.0,259,194250.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
2,maximize_demand,1860790,257.0,1485.0,2227.5,125384.0,257,190822.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
3,maximize_demand,1860988,257.0,1560.0,2340.0,127909.0,257,200460.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
4,maximize_demand,1861006,256.0,1500.0,2250.0,125534.0,256,192000.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
5,maximize_demand,1238872,256.0,1465.0,2197.5,124379.0,256,187520.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
6,maximize_demand,1860826,255.0,1545.0,2317.5,126989.0,255,196987.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
7,maximize_demand,1855768,254.0,1470.0,2205.0,123949.0,254,186690.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
8,maximize_demand,1238908,254.0,1525.0,2287.5,125984.0,254,193675.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
9,maximize_demand,1860953,254.0,1520.0,2280.0,125788.0,254,193040.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Metal']}"
10,maximize_demand,1860844,254.0,1485.0,2227.5,124614.0,254,188595.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
1,maximize_profit,13058428,214605.0,1710.0,2565.0,132205.0,251,214605.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
2,maximize_profit,13058429,212790.0,1730.0,2595.0,131689.0,246,212790.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Metal']}"
3,maximize_profit,13991548,212400.0,1770.0,2655.0,131758.0,240,212400.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
4,maximize_profit,13058482,212040.0,1710.0,2565.0,131435.0,248,212040.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
5,maximize_profit,13058266,211875.0,1695.0,2542.5,131285.0,250,211875.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
6,maximize_profit,13991549,210325.0,1790.0,2685.0,131242.0,235,210325.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Metal']}"
7,maximize_profit,13058483,210195.0,1730.0,2595.0,130919.0,243,210195.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Metal']}"
8,maximize_profit,13058267,210087.5,1715.0,2572.5,130769.0,245,210087.5,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Metal']}"
9,maximize_profit,13058431,209945.0,1990.0,2985.0,133635.0,211,209945.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
10,maximize_profit,13991602,209745.0,1770.0,2655.0,130988.0,237,209745.0,"{'Bike Frame': ['Aluminium (Enriched)'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
1,maximize_satisfaction_per_cost,937063,108.7051282051282,780.0,1170.0,84790.0,163,63570.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
2,maximize_satisfaction_per_cost,935119,108.66447368421052,760.0,1140.0,82585.0,156,59280.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
3,maximize_satisfaction_per_cost,947431,108.46625,800.0,1200.0,86773.0,170,68000.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Reflectors', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
4,maximize_satisfaction_per_cost,945487,108.42051282051283,780.0,1170.0,84568.0,162,63180.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Reflectors', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
5,maximize_satisfaction_per_cost,938035,108.22699386503068,815.0,1222.5,88205.0,174,70905.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
6,maximize_satisfaction_per_cost,936901,108.17610062893081,795.0,1192.5,86000.0,167,66382.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Repair Kit', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
7,maximize_satisfaction_per_cost,1014823,108.0377358490566,795.0,1192.5,85890.0,166,65985.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Extra Grip Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
8,maximize_satisfaction_per_cost,948403,108.00958083832336,835.0,1252.5,90188.0,181,75567.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
9,maximize_satisfaction_per_cost,1012879,107.98064516129033,775.0,1162.5,83685.0,159,61612.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Extra Grip Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
10,maximize_satisfaction_per_cost,947269,107.95460122699386,815.0,1222.5,87983.0,173,70497.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
1,maximize_satisfaction_per_price,937063,72.47008547008546,780.0,1170.0,84790.0,163,63570.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
2,maximize_satisfaction_per_price,935119,72.44298245614036,760.0,1140.0,82585.0,156,59280.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
3,maximize_satisfaction_per_price,947431,72.31083333333333,800.0,1200.0,86773.0,170,68000.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Reflectors', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
4,maximize_satisfaction_per_price,945487,72.28034188034188,780.0,1170.0,84568.0,162,63180.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Reflectors', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
5,maximize_satisfaction_per_price,938035,72.15132924335379,815.0,1222.5,88205.0,174,70905.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
6,maximize_satisfaction_per_price,936901,72.11740041928721,795.0,1192.5,86000.0,167,66382.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Repair Kit', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
7,maximize_satisfaction_per_price,1014823,72.0251572327044,795.0,1192.5,85890.0,166,65985.0,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Extra Grip Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
8,maximize_satisfaction_per_price,948403,72.0063872255489,835.0,1252.5,90188.0,181,75567.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
9,maximize_satisfaction_per_price,1012879,71.98709677419355,775.0,1162.5,83685.0,159,61612.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Extra Grip Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam All-Purpose'], 'Accessories': ['Reflectors', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
10,maximize_satisfaction_per_price,947269,71.96973415132925,815.0,1222.5,87983.0,173,70497.5,"{'Bike Frame': ['Aluminium (Standard)'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Straight'], 'Pedals': ['Basic Flat'], 'Gears': ['7 Speed'], 'Seat': ['Urethane Foam Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Fenders': ['Plastic']}"
